Total Train Time (s),Policy mu Max,Number of train steps total,Log Pis Mean,Policy log std Std,Epoch,Exploration Rewards Std,Test Rewards Min,Test Returns Max,Test Actions Min,Q Predictions Std,Test Actions Mean,V Predictions Min,Exploration Rewards Max,Q Predictions Min,Test Rewards Std,QF Loss,Exploration Returns Std,Policy Loss,VF Loss,Policy mu Mean,Test Returns Mean,Exploration Actions Max,Train Time (s),Exploration Returns Mean,Policy log std Min,Policy log std Max,Exploration Rewards Min,Test Returns Std,Q Predictions Max,Policy log std Mean,Test Actions Std,Test Rewards Mean,Number of rollouts total,Log Pis Std,V Predictions Std,Policy mu Std,Exploration Returns Max,Exploration Returns Min,Log Pis Min,Num Paths,Test Actions Max,Q Predictions Mean,Exploration Actions Mean,Test Returns Min,V Predictions Max,Sample Time (s),Epoch Time (s),Policy mu Min,Number of env steps total,Exploration Actions Std,Log Pis Max,AverageReturn,Exploration Actions Min,Exploration Rewards Mean,Test Rewards Max,V Predictions Mean,(Previous) Eval Time (s)
534.4443370234221,2.35757,29873,-0.283185,0.343311,29,0.0,1.0,40.0,-0.0743863,5.37721,0.0710334,18.5516,1.0,-1.03784,0.0,3.63962,11.4443096001,4.1073,33.9882,0.0279269,38.2962962963,0.991381,15.710480719804764,13.8333333333,-1.45308,-0.175303,1.0,0.597204277652,29.907,-0.440344,0.133414,1.0,1548,0.887455,1.37673,0.6341,61.0,3.0,-1.82796,72,0.970883,25.2653,-0.00919963,37.0,28.9551,0.5901913279667497,17.413986194878817,-1.94746,30000,0.64143,3.69196,38.2962962963,-0.991973,1.0,1.0,25.762,1.1133141471073031
552.0410908013582,1.87823,30873,-0.29377,0.357611,30,0.0,1.0,40.0,-0.0701793,6.0511,0.0689947,20.0921,1.0,0.120858,0.0,8.10279,16.821898225,4.31432,36.1348,-0.138838,38.6923076923,0.990707,15.933728237636387,20.4081632653,-1.40987,-0.0785576,1.0,0.666173387526,30.6667,-0.31581,0.126012,1.0,1597,0.922023,1.39959,0.638693,57.0,3.0,-1.82705,49,0.985504,24.5496,0.000603142,38.0,29.9617,0.5671583786606789,17.628765417262912,-2.18934,31000,0.632906,3.50644,38.6923076923,-0.991896,1.0,1.0,25.3909,1.1278788009658456
569.6008644169196,2.5131,31873,-0.265866,0.369142,31,0.0,1.0,45.0,-0.982205,5.08488,-0.0631635,21.431,1.0,-2.27813,0.0,2.62007,12.0138440551,4.37502,32.3917,0.0936431,42.5,0.996995,15.810959139838815,14.1571428571,-1.68372,-0.0894903,1.0,0.957427107756,28.1591,-0.373539,0.121363,1.0,1667,0.992948,1.10151,0.665741,52.0,3.0,-2.08506,70,0.029154,24.3071,-0.000976198,41.0,27.5905,0.5994262332096696,17.50921490509063,-1.62217,32000,0.648016,3.95027,42.5,-0.995368,1.0,1.0,24.9484,1.0988295320421457
586.7142285760492,2.52697,32873,-0.256753,0.270456,32,0.0,1.0,39.0,-0.972921,5.20865,-0.0735761,21.8011,1.0,1.02348,0.0,9.99918,16.4914610661,2.74781,25.5889,0.00352951,38.1111111111,0.998462,15.416462962515652,16.6393442623,-1.00109,-0.0741501,1.0,0.496903995,28.2351,-0.299783,0.148235,1.0,1728,0.893763,1.17333,0.741292,82.0,3.0,-2.61624,61,0.103416,23.6632,-0.00395219,37.0,28.2149,0.5842054337263107,17.148448642343283,-2.1496,33000,0.658637,3.71135,38.1111111111,-0.992676,1.0,1.0,24.6,1.1477802461013198
603.6956099020317,2.6233,33873,-0.256321,0.287958,33,0.0,1.0,37.0,-0.957286,4.6337,-0.07626,20.5572,1.0,-0.153496,0.0,1.58437,12.9889463496,3.95922,26.2274,0.0456229,36.3928571429,0.998569,15.242246462032199,18.4,-1.13547,-0.143705,1.0,0.488385511828,28.2475,-0.378999,0.159262,1.0,1783,0.960262,1.19452,0.68221,51.0,3.0,-1.60331,55,0.216882,23.995,-0.0105757,36.0,26.4403,0.5704395035281777,16.925447623245418,-2.0733,34000,0.640285,3.70501,36.3928571429,-0.996093,1.0,1.0,23.5415,1.1127616576850414
622.0241947872564,2.90081,34873,-0.31237,0.313921,34,0.0,1.0,40.0,-0.979698,3.7875,-0.068199,20.958,1.0,-0.372533,0.0,1.22996,12.3597828962,2.88359,13.3969,0.156459,39.2307692308,0.996581,16.57052918151021,14.803030303,-1.20807,-0.0832094,1.0,0.575639597965,27.3258,-0.274748,0.131318,1.0,1849,0.899222,1.06109,0.600296,45.0,3.0,-1.68778,66,0.0747952,23.9027,-0.0274504,38.0,26.9846,0.5870875557884574,18.327510739676654,-1.55796,35000,0.632875,4.16627,39.2307692308,-0.997018,1.0,1.0,23.8566,1.169894002377987
639.8460653610528,2.33712,35873,-0.278498,0.291213,35,0.0,1.0,55.0,-0.0709482,6.26835,0.0568032,19.7843,1.0,-0.787863,0.0,2.22617,10.8469148685,5.92971,47.6968,0.0393173,45.6818181818,0.995568,16.081602899357677,12.3170731707,-1.21834,-0.122993,1.0,4.0495382861,28.8255,-0.334126,0.110921,1.0,1931,1.02495,1.28978,0.68041,55.0,3.0,-2.02057,82,0.971867,22.8808,0.000576658,41.0,28.8106,0.5943856844678521,17.846433324739337,-2.31761,36000,0.652273,3.54902,45.6818181818,-0.9969,1.0,1.0,24.1547,1.1704447409138083
656.8657983625308,1.89871,36873,-0.402469,0.333214,36,0.0,1.0,51.0,-0.994628,3.51782,-0.0614275,20.4889,1.0,0.78235,0.0,2.05555,12.4949503786,2.55807,18.073,-0.0926814,45.2608695652,0.992565,15.212440134957433,14.2957746479,-1.33187,-0.102655,1.0,2.17130278073,28.4056,-0.314861,0.130222,1.0,2002,0.841872,1.1665,0.557254,62.0,3.0,-2.76319,71,0.0220469,24.3154,-0.00157425,42.0,27.0102,0.6119415210559964,16.971070043742657,-2.02833,37000,0.650456,3.24861,45.2608695652,-0.997289,1.0,1.0,23.8019,1.1466883877292275
674.1160137234256,2.61058,37873,-0.242665,0.327305,37,0.0,1.0,46.0,-0.992173,5.84362,-0.063924,18.691,1.0,-1.00594,0.0,3.59804,13.7257340766,5.9545,43.294,0.0259855,42.9583333333,0.995659,15.555252001620829,14.7575757576,-1.35971,-0.129768,1.0,1.30636795055,26.8755,-0.384591,0.124451,1.0,2068,1.05452,1.26148,0.69906,77.0,3.0,-1.80908,66,0.0314596,22.0903,-0.00500393,41.0,26.8541,0.576357345096767,17.326974742114544,-2.56889,38000,0.669939,4.15448,42.9583333333,-0.99719,1.0,1.0,23.1029,1.1953653953969479
692.5037081027403,1.99746,38873,-0.211093,0.274261,38,0.0,1.0,39.0,-0.117109,5.72976,0.0790024,19.837,1.0,0.371222,0.0,2.00281,13.7597928773,4.47423,41.4439,-0.0457219,37.6296296296,0.991333,16.52801247499883,16.5081967213,-0.972038,-0.125669,1.0,0.554319612855,26.7874,-0.376921,0.159913,1.0,2129,0.965685,1.18658,0.770481,53.0,3.0,-1.38796,61,0.976522,22.0418,-0.00903495,37.0,26.2985,0.5869604479521513,18.234266471117735,-2.63343,39000,0.63092,3.37919,37.6296296296,-0.998959,1.0,1.0,23.2581,1.1192935481667519
